eeg1,eeg2,eeg3,eeg4,eeg5,eeg6,eeg7,eeg8,accx,accy,accz,iso_utc,session_id,command_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.04,0.166,2019-03-17T21:28:57.645460,17,EyesClosed
-18867.532177869343,-2839.252691179835,7140.8906150925895,2784.3791585420563,22593.970309969227,12549.29751745433,8409.240354208989,11782.945607059672,0.0,0.0,0.0,2019-03-17T21:28:57.657775,17,EyesClosed
-18934.810928679817,-2904.698598944974,7032.127026573065,2637.327031770591,22511.022986295582,12501.308322108785,8326.874175891182,11661.039192800426,0.0,0.0,0.0,2019-03-17T21:28:57.663800,17,EyesClosed
-18828.908363450573,-2805.5239087967766,7025.689724169937,2458.7142418282324,22625.28510395111,11982.61374027893,8410.80497632086,11520.647885876642,0.0,0.0,0.0,2019-03-17T21:28:57.664339,17,EyesClosed
-18743.65881009803,-2730.6008613825875,7133.916870822534,2581.1570979544044,22724.035110954657,11967.79453370506,8506.984532712047,11615.307523644868,0.0,0.0,0.0,2019-03-17T21:28:57.670076,17,EyesClosed
-18834.384540842122,-2816.409208346511,7153.69816466548,2772.2421613028246,22624.078109750524,12488.768993469357,8438.342325489799,11762.963147516626,0.0,0.0,0.0,2019-03-17T21:28:57.670537,17,EyesClosed
-18932.687512956563,-2907.2019943239684,7049.606090737116,2669.357081575046,22511.13474501786,12571.001061320432,8334.518472494898,11679.546437209421,0.0,0.0,0.0,2019-03-17T21:28:57.677885,17,EyesClosed
-18867.01808774687,-2849.1098104846255,7002.287447725231,2446.845465522464,22588.941167466783,12053.133494035423,8386.396871375666,11507.974446770484,0.0,0.0,0.0,2019-03-17T21:28:57.678354,17,EyesClosed
-18758.433313182988,-2733.5736433951433,7107.474757131906,2523.0202106261504,22715.67555852837,11911.669303377785,8505.799890255916,11569.754668444952,0.01,1.028,0.158,2019-03-17T21:28:57.684488,17,EyesClosed
-18821.711101735964,-2783.7086062083968,7151.060658819754,2736.8593498300734,22644.798176860593,12397.193896435965,8465.902026403193,11734.867004736305,0.0,0.0,0.0,2019-03-17T21:28:57.685005,17,EyesClosed
-18934.140376346157,-2909.727741447418,7057.183332107465,2695.0168842097387,22515.046300297538,12610.317779817316,8354.880911693683,11699.394786285733,0.0,0.0,0.0,2019-03-17T21:28:57.692668,17,EyesClosed
-18882.865474565682,-2871.796831106762,6994.374930188052,2467.945512288274,22567.46114104523,12142.004029989725,8382.261798651434,11522.793653344352,0.0,0.0,0.0,2019-03-17T21:28:57.693380,17,EyesClosed
-18759.66265912803,-2749.376326725045,7083.558390564727,2484.7316723742097,22708.098317158023,11869.513913335075,8506.40338735621,11539.222185519004,0.0,0.0,0.0,2019-03-17T21:28:57.702611,17,EyesClosed
