eeg1,eeg2,eeg3,eeg4,eeg5,eeg6,eeg7,eeg8,accx,accy,accz,iso_utc,session_id,command_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,1.02,0.18,2019-03-17T21:29:29.460551,18,EyesOpen
-19993.43424957207,-5638.138131873386,7482.537029091958,4588.85784016345,22904.637206153537,14934.295706068959,7030.271831783275,12028.85949955696,0.0,0.0,0.0,2019-03-17T21:29:29.472095,18,EyesOpen
-20104.678881726133,-5756.870598419977,7473.506924332014,4746.482342062276,22779.31097499263,15412.935961834904,6939.411990572452,12154.051620251133,0.0,0.0,0.0,2019-03-17T21:29:29.478098,18,EyesOpen
-20176.718554105588,-5830.3854859334815,7371.828838804822,4601.978314158716,22690.842770438525,15347.937088958872,6848.753315061726,12036.57085139404,0.0,0.0,0.0,2019-03-17T21:29:29.478860,18,EyesOpen
-20078.795561646886,-5747.058182604097,7369.861885292756,4421.711495126664,22802.51208573724,14852.041286473428,6930.448941045874,11894.50316363611,0.0,0.0,0.0,2019-03-17T21:29:29.484670,18,EyesOpen
-19995.758830995423,-5654.030222181109,7475.719747033089,4541.740362851663,22900.77035436277,14852.13069345125,7028.081360826655,11992.716728772728,0.0,0.0,0.0,2019-03-17T21:29:29.485260,18,EyesOpen
-20088.45151525158,-5725.622859671457,7489.778994295478,4731.50667327722,22805.2837020497,15347.758275003229,6962.814267017158,12152.039963250156,0.0,0.0,0.0,2019-03-17T21:29:29.492634,18,EyesOpen
-20182.395897197235,-5825.445750408859,7389.687882624613,4640.244500666202,22699.001157164712,15419.395615982488,6862.186713479366,12078.793296670116,0.0,0.0,0.0,2019-03-17T21:29:29.493522,18,EyesOpen
-20110.512687028968,-5757.876426920465,7360.988242743999,4435.569576688955,22786.329422751598,14941.940002672674,6918.8930891624805,11918.128957525369,0.026000000000000002,1.02,0.18,2019-03-17T21:29:29.500577,18,EyesOpen
-20012.38852887017,-5651.348012846472,7451.155179876707,4496.925115218773,22902.71495613038,14810.288227830915,7025.354448003108,11970.834370950983,0.0,0.0,0.0,2019-03-17T21:29:29.501162,18,EyesOpen
-20077.70032616858,-5709.574307152547,7487.521468105491,4702.471757229777,22831.81522271815,15273.908111322895,6983.310816682675,12141.40053288943,0.0,0.0,0.0,2019-03-17T21:29:29.508026,18,EyesOpen
-20184.586368153854,-5825.110474242029,7400.37201647425,4667.290111457123,22706.980729935258,15467.429514816942,6871.21681823931,12113.483204064752,0.0,0.0,0.0,2019-03-17T21:29:29.508892,18,EyesOpen
-20138.787643764932,-5785.234962133761,7349.342983882783,4446.633690194331,22759.350867194044,15025.803747868986,6894.037949328179,11937.329106012477,0.0,0.0,0.0,2019-03-17T21:29:29.515311,18,EyesOpen
-20025.509002865434,-5671.397527622882,7425.540080730925,4442.029230836539,22883.693621598915,14766.098829042772,7000.901639569001,11934.60219318893,0.0,0.0,0.0,2019-03-17T21:29:29.515836,18,EyesOpen
-20051.81700608933,-5688.831888298022,7491.075395473886,4658.505875886188,22848.266106637253,15171.358307761946,6989.993988274812,12108.655227262405,0.0,0.0,0.0,2019-03-17T21:29:29.523493,18,EyesOpen
-20163.531024876957,-5801.596439075046,7426.389447020227,4686.646722155419,22717.955436462813,15478.739497511327,6878.257617742732,12131.901041495925,0.0,0.0,0.0,2019-03-17T21:29:29.524098,18,EyesOpen
-20146.454292113103,-5796.880220994976,7350.9746612280205,4469.276007327558,22733.869878514994,15109.175754687281,6867.484076915273,11957.378620788888,0.0,0.0,0.0,2019-03-17T21:29:29.530268,18,EyesOpen
-20031.745139568466,-5687.557838864069,7402.249563008495,4410.513271154556,22865.164025445465,14746.87632881121,6973.230179933332,11908.964742298693,0.0,0.0,0.0,2019-03-17T21:29:29.537263,18,EyesOpen
-20025.799575543355,-5662.5685885630355,7483.431098870171,4621.849014979483,22864.895804512,15070.440181546233,6992.564438887172,12078.34626178101,0.018000000000000002,1.016,0.178,2019-03-17T21:29:29.537883,18,EyesOpen
-20142.878013000252,-5770.5722177710795,7429.496339499515,4700.482451973254,22729.0642534571,15464.63554676003,6881.275103244198,12141.556995100618,0.0,0.0,0.0,2019-03-17T21:29:29.544957,18,EyesOpen
-20168.69427784613,-5806.402064132937,7328.868785961722,4495.4051965958115,22702.465677555287,15187.295101558579,6836.146931188933,11975.46118205323,0.0,0.0,0.0,2019-03-17T21:29:29.545674,18,EyesOpen
-20052.554613656357,-5697.0796820020305,7363.871617778733,4393.615352346344,22839.481871066317,14752.687782369589,6942.004792929268,11892.379747912855,0.0,0.0,0.0,2019-03-17T21:29:29.552847,18,EyesOpen
-20020.077528962796,-5661.361594362449,7460.229988125562,4583.113441838436,22878.41860990746,14971.667822798232,6993.749081343303,12045.91388057636,0.0,0.0,0.0,2019-03-17T21:29:29.553304,18,EyesOpen
-20131.612733794776,-5757.719964709278,7434.436075024138,4711.50186198972,22746.386855409964,15430.795005654694,6892.495678960762,12150.788265560659,0.0,0.0,0.0,2019-03-17T21:29:29.561098,18,EyesOpen
-20189.816676356397,-5823.411741663425,7331.439236574082,4540.511016906621,22683.801970935103,15276.947948568815,6819.964268203291,12014.576734850018,0.0,0.0,0.0,2019-03-17T21:29:29.561927,18,EyesOpen
-20088.429163507124,-5732.261327774683,7346.884291992699,4390.5084598670555,22806.289530550188,14797.279512557927,6912.925173392913,11896.514820637087,0.0,0.0,0.0,2019-03-17T21:29:29.567632,18,EyesOpen
-20025.10667146524,-5671.509286345159,7446.975403663565,4541.7180111072075,22872.67421158245,14888.318167724392,6987.200020217899,12018.018903496135,0.0,0.0,0.0,2019-03-17T21:29:29.568132,18,EyesOpen
-20112.21141960757,-5751.573234984068,7451.71397348809,4716.195728325335,22762.524814906697,15385.912702788437,6913.305153048654,12161.561806388117,0.0,0.0,0.0,2019-03-17T21:29:29.575657,18,EyesOpen
-20185.279272231972,-5826.29511669816,7354.014498473943,4591.674159964819,22677.275261554154,15363.89623449996,6829.977849719268,12063.81762788506,0.012,1.018,0.178,2019-03-17T21:29:29.576280,18,EyesOpen
-20107.87518118324,-5740.799694156611,7342.905681479655,4407.629896119821,22783.669565161417,14869.676812848666,6903.403330254952,11916.698445880229,0.0,0.0,0.0,2019-03-17T21:29:29.583578,18,EyesOpen
-20026.224258688006,-5647.369402333427,7442.125075116763,4513.666571815797,22879.42443840795,14836.88680373273,6994.889020310524,12001.590371321485,0.0,0.0,0.0,2019-03-17T21:29:29.584021,18,EyesOpen
-20101.72845145803,-5710.826004842044,7462.599273037824,4712.708856190307,22784.27306226171,15325.048902636636,6931.119493379533,12160.243053465254,0.0,0.0,0.0,2019-03-17T21:29:29.590924,18,EyesOpen
-20195.337557236857,-5814.716913070311,7368.163152714152,4640.244500666202,22671.888491140428,15432.001999855282,6826.669791539883,12101.547372525618,0.0,0.0,0.0,2019-03-17T21:29:29.597134,18,EyesOpen
-20138.407664109192,-5767.845304947532,7323.750236481457,4425.935974828717,22739.591925095552,14955.57456679041,6865.874751314492,11932.322315254489,0.0,0.0,0.0,2019-03-17T21:29:29.597680,18,EyesOpen
-20038.316552438326,-5662.903864729866,7407.32340899985,4478.507277787599,22859.15140618699,14790.797506665887,6972.917255510957,11973.918911685814,0.0,0.0,0.0,2019-03-17T21:29:29.605219,18,EyesOpen
-20081.500122725978,-5696.69970234629,7458.6877177581455,4702.941143863338,22806.401289272464,15250.774055811651,6946.028106931223,12156.64442260795,0.0,0.0,0.0,2019-03-17T21:29:29.605764,18,EyesOpen
-20187.313280977403,-5800.076520452085,7371.158286471163,4679.762384863185,22673.58722371903,15468.524750295253,6826.133349672956,12135.723189797782,0.0,0.0,0.0,2019-03-17T21:29:29.613138,18,EyesOpen
-20156.80314979591,-5778.037700419152,7304.460681016527,4459.038908367027,22709.372366591975,15038.946573608706,6836.3033934001205,11956.909234155326,0.0,0.0,0.0,2019-03-17T21:29:29.613644,18,EyesOpen
-20028.705302322545,-5667.888303743399,7383.027062776931,4458.010728122083,22847.752016514783,14764.847131353275,6952.599519801083,11955.925757399293,0.008,1.02,0.186,2019-03-17T21:29:29.620553,18,EyesOpen
-20049.53712815489,-5682.931027761821,7453.256243855506,4679.516515674176,22823.120394125035,15151.755827874642,6949.582034299617,12133.599774074528,0.0,0.0,0.0,2019-03-17T21:29:29.621053,18,EyesOpen
-20170.03538251345,-5800.210630918817,7392.4147954481605,4720.442559771844,22688.071154126068,15480.281767878745,6836.325745144576,12167.440315179863,0.0,0.0,0.0,2019-03-17T21:29:29.628726,18,EyesOpen
-20163.821597554874,-5794.488584338258,7316.530623022392,4507.095158945937,22695.044898396125,15131.125167742393,6819.249012380721,11994.929551473804,0.0,0.0,0.0,2019-03-17T21:29:29.629555,18,EyesOpen
-20051.01234328894,-5681.969902750243,7360.675318321624,4433.133236543326,22821.578123757616,14736.907450784141,6917.708446706349,11929.97538208668,0.0,0.0,0.0,2019-03-17T21:29:29.635221,18,EyesOpen
-20039.948229783564,-5666.256626398162,7445.56724376288,4639.551596588087,22834.02804541922,15028.038922314516,6944.217615630343,12093.031357888147,0.0,0.0,0.0,2019-03-17T21:29:29.635758,18,EyesOpen
-20152.84689102732,-5775.511953295702,7407.7480921445,4735.574690768086,22704.34322408953,15441.76971218225,6836.4822073557625,12169.049640780646,0.0,0.0,0.0,2019-03-17T21:29:29.643327,18,EyesOpen
-20167.12965573426,-5797.059034950618,7321.939745180577,4545.0037175421385,22681.902072656405,15203.969502922238,6797.791337703627,12018.398883151876,0.0,0.0,0.0,2019-03-17T21:29:29.643843,18,EyesOpen
-20059.97539281552,-5704.567516394558,7345.252614647462,4417.01762879105,22805.12723983851,14747.368067189225,6890.3052080041425,11915.849079590927,0.0,0.0,0.0,2019-03-17T21:29:29.650254,18,EyesOpen
-20029.375854656202,-5655.863065226444,7440.09106637133,4601.173651358325,22853.0940834396,14934.698037469154,6945.871644720036,12060.353107494488,0.0,0.0,0.0,2019-03-17T21:29:29.657273,18,EyesOpen
-20135.79251000792,-5749.449819260814,7420.019199850464,4748.762219996717,22727.566686578597,15412.824203112628,6852.597815108039,12176.69393738436,0.008,1.022,0.196,2019-03-17T21:29:29.658118,18,EyesOpen
-20198.422097971692,-5824.5740323751015,7314.6977799770575,4585.370968028423,22659.48327296773,15292.54946619862,6779.507610739185,12046.71854337675,0.0,0.0,0.0,2019-03-17T21:29:29.664857,18,EyesOpen
-20090.507875741467,-5738.318650522072,7315.055407888342,4420.437445692712,22776.762876124725,14801.749861448987,6865.874751314492,11917.190184258245,0.0,0.0,0.0,2019-03-17T21:29:29.665377,18,EyesOpen
-20029.934648267586,-5664.759059519656,7411.570240446358,4563.130982295392,22853.04937995069,14863.977118012563,6945.938699953402,12033.151034492379,0.0,0.0,0.0,2019-03-17T21:29:29.675978,18,EyesOpen
-20132.97619020655,-5750.768572183678,7411.056150323886,4739.665060003407,22741.290657674155,15358.80003676415,6864.555998391628,12177.923283329403,0.0,0.0,0.0,2019-03-17T21:29:29.676623,18,EyesOpen
-20207.340444009358,-5826.809206820632,7307.7687391959125,4618.608012033465,22646.58631641702,15364.23151066679,6768.085869322524,12085.476468262252,0.0,0.0,0.0,2019-03-17T21:29:29.682377,18,EyesOpen
-20117.73230048803,-5746.90172039291,7283.360634250717,4418.269326480547,22743.659942586415,14868.961557026096,6831.96715497579,11929.908326853316,0.0,0.0,0.0,2019-03-17T21:29:29.683002,18,EyesOpen
-20032.840375046777,-5657.382983849405,7382.714138354557,4516.259374172613,22852.93762122841,14804.432070783625,6933.198205613877,12007.602990579962,0.0,0.0,0.0,2019-03-17T21:29:29.688626,18,EyesOpen
-20109.663320739666,-5723.544147437114,7414.587725947825,4723.750617951228,22769.02917254319,15290.046070819626,6879.464611943318,12175.822219350603,0.0,0.0,0.0,2019-03-17T21:29:29.689178,18,EyesOpen
-20205.14997305274,-5824.752846330744,7327.192405127574,4662.082154999037,22653.895336853904,15422.949543350882,6773.539694969618,12125.866070492992,0.0,0.0,0.0,2019-03-17T21:29:29.695606,18,EyesOpen
-20147.661286313687,-5778.95412194182,7273.682328901569,4439.101152312894,22712.501610815718,14944.175177118204,6803.9604191732915,11944.638126449363,0.008,1.016,0.2,2019-03-17T21:29:29.696475,18,EyesOpen
-20032.39334015767,-5660.2216553952285,7361.815257288845,4481.100080144415,22838.587801288108,14751.05610502435,6913.282801304198,11972.220179107211,0.0,0.0,0.0,2019-03-17T21:29:29.703686,18,EyesOpen
-20081.656584937165,-5700.275981459139,7418.342819016317,4702.270591529678,22789.03398383069,15195.922874918328,6888.047681814156,12148.910719026413,0.0,0.0,0.0,2019-03-17T21:29:29.704335,18,EyesOpen
-20198.690318905155,-5813.442863636358,7341.564576812337,4696.123861804469,22659.32681075654,15446.977668640337,6775.171372314856,12143.076913723578,0.0,0.0,0.0,2019-03-17T21:29:29.710772,18,EyesOpen
-20176.60679538331,-5793.035720948663,7266.418011953594,4468.828972438451,22686.73004945875,15028.776529881541,6776.62423570445,11957.758600444628,0.0,0.0,0.0,2019-03-17T21:29:29.711546,18,EyesOpen
-20057.20377650306,-5669.6093880664575,7340.379934356205,4452.0875158414265,22827.747205227282,14727.25149717945,6892.65214117195,11941.88886188136,0.0,0.0,0.0,2019-03-17T21:29:29.717612,18,EyesOpen
-20069.83251212031,-5682.238123683706,7413.805414891889,4669.190009735824,22809.530533496207,15096.591722558944,6894.797908639659,12114.153756398411,0.0,0.0,0.0,2019-03-17T21:29:29.725247,18,EyesOpen
-20181.45712393011,-5796.723758783789,7351.511103094948,4717.849757415028,22671.73202892924,15444.563680239164,6780.669901450861,12152.554053372629,0.0,0.0,0.0,2019-03-17T21:29:29.726176,18,EyesOpen
-20186.75448736602,-5807.072616466596,7265.523942175382,4503.116548432893,22669.698020183805,15118.675246080787,6759.592206429506,11982.792554234571,0.0,0.0,0.0,2019-03-17T21:29:29.733444,18,EyesOpen
-20070.97245108753,-5697.392606424404,7313.06610263182,4418.425788691734,22806.3342340391,14720.322456398304,6872.602626395539,11919.715931381696,0.0,0.0,0.0,2019-03-17T21:29:29.734111,18,EyesOpen
-20057.516700925436,-5678.013643981653,7395.342873971806,4614.137663142403,22820.66170223495,14993.505477131068,6902.84453664357,12076.781639669138,0.006,1.018,0.2,2019-03-17T21:29:29.740371,18,EyesOpen
-20170.75063833602,-5792.879258737476,7354.573292085325,4714.653457957918,22685.098372113513,15421.04964507218,6793.902134168403,12155.906815040924,0.0,0.0,0.0,2019-03-17T21:29:29.741022,18,EyesOpen
-20206.222856786593,-5834.63231737999,7256.180912993063,4524.306002176524,22647.547441428596,15202.047252899081,6740.816741087048,12000.13750793189,0.0,0.0,0.0,2019-03-17T21:29:29.748466,18,EyesOpen
-20089.434992007613,-5720.124330535452,7281.639549927659,4395.179974458215,22777.50048369175,14739.612011863233,6838.695030056839,11894.123183980368,0.0,0.0,0.0,2019-03-17T21:29:29.749172,18,EyesOpen
-20037.601296615758,-5662.300367629572,7375.829801062322,4564.7850113850845,22826.339045326597,14891.80503985942,6895.311998762131,12025.66320009985,0.0,0.0,0.0,2019-03-17T21:29:29.756003,18,EyesOpen
-20150.4552543706,-5767.219456102784,7364.318652667839,4719.637896971452,22707.427764824362,15372.501656115253,6804.720378484772,12146.317916669597,0.0,0.0,0.0,2019-03-17T21:29:29.756919,18,EyesOpen
-20216.839935402862,-5838.5438726596685,7261.522979917882,4566.327281752501,22626.80502257407,15275.74095436823,6720.744874566183,12018.957676763259,0.0,0.0,0.0,2019-03-17T21:29:29.764199,18,EyesOpen
-20117.285265598926,-5747.572272726568,7256.2926717153405,4394.688236080198,22735.009817482212,14779.509875715958,6798.7971662041155,11878.342852394922,0.0,0.0,0.0,2019-03-17T21:29:29.764823,18,EyesOpen
-20043.16688098513,-5663.954396719265,7362.463457878049,4531.726781335686,22823.74624296978,14813.193954610106,6887.1983155248545,11984.156010646346,0.0,0.0,0.0,2019-03-17T21:29:29.770657,18,EyesOpen
-20137.401835608704,-5742.1631505683845,7370.018347503942,4717.805053926117,22718.15660216291,15305.200553560324,6813.862241966992,12131.386951373453,0.0,0.0,0.0,2019-03-17T21:29:29.771628,18,EyesOpen
-20218.784537170475,-5825.803378320144,7274.352881235228,4615.299953854079,22620.14420272639,15344.204347634835,6718.956735009759,12047.992592810702,0.01,1.016,0.2,2019-03-17T21:29:29.777630,18,EyesOpen
-20142.90036474471,-5766.683014235856,7239.57356686277,4403.293657695492,22704.92436944537,14847.392123626725,6770.030471090135,11880.868599518371,0.0,0.0,0.0,2019-03-17T21:29:29.785413,18,EyesOpen
-20033.801500058355,-5679.488859115703,7337.720076766023,4485.503373802111,22816.839553933092,14752.218395736027,6871.440335683863,11944.12403632689,0.0,0.0,0.0,2019-03-17T21:29:29.786103,18,EyesOpen
-20097.83924792281,-5731.210795785284,7384.479926166526,4701.331818262555,22749.78432056717,15238.368837638956,6834.001163721224,12120.993390201735,0.0,0.0,0.0,2019-03-17T21:29:29.793329,18,EyesOpen
-20213.15189756774,-5835.34757320256,7296.034073356876,4652.5379601166205,22633.2423249772,15405.403423953465,6725.66225834635,12082.257817060688,0.0,0.0,0.0,2019-03-17T21:29:29.794084,18,EyesOpen
-20166.347344678325,-5793.1698314153955,7240.646450596625,4433.133236543326,22694.128476873455,14946.790331219476,6753.66899414885,11904.40498642981,0.0,0.0,0.0,2019-03-17T21:29:29.800178,18,EyesOpen
-20045.87144206422,-5672.179838678818,7324.532547537393,4457.027251366049,22823.790946458692,14727.184441946083,6867.372318192997,11921.794643616038,0.0,0.0,0.0,2019-03-17T21:29:29.801021,18,EyesOpen
-20092.92186414264,-5704.925144305843,7377.394423174193,4672.54277140412,22780.85324536005,15152.359324974934,6851.033192996168,12096.227657345255,0.0,0.0,0.0,2019-03-17T21:29:29.808873,18,EyesOpen
-20208.726252165587,-5823.903480041442,7300.102090847742,4678.68950112933,22645.446377449796,15429.185680053912,6733.731238094716,12100.541544025129,0.0,0.0,0.0,2019-03-17T21:29:29.809613,18,EyesOpen
-20185.212216998603,-5805.57504958809,7220.149900931108,4454.076821097949,22666.90405212689,15036.934916607728,6729.260889203655,11919.827690103972,0.0,0.0,0.0,2019-03-17T21:29:29.816129,18,EyesOpen
-20064.468093451036,-5688.1613359643625,7281.483087716471,4415.721227612642,22801.886236892493,14703.066909678808,6842.986564992258,11886.344776909922,0.014,1.014,0.194,2019-03-17T21:29:29.816775,18,EyesOpen
-20078.6390994357,-5696.297370946094,7353.589815329292,4628.465131338255,22790.28568152019,15050.435370258734,6853.469533141796,12059.280223760632,0.0,0.0,0.0,2019-03-17T21:29:29.822898,18,EyesOpen
-20200.85843811732,-5810.939468257364,7297.039901857365,4692.122899546969,22652.3977699754,15427.688113175407,6741.084962020513,12112.92441045337,0.0,0.0,0.0,2019-03-17T21:29:29.823605,18,EyesOpen
-20206.848705631342,-5828.0385527656745,7209.6892845260245,4485.033987168549,22641.937153570314,15129.09115899696,6711.513604106141,11946.2698037946,0.0,0.0,0.0,2019-03-17T21:29:29.831421,18,EyesOpen
-20091.06666935285,-5715.318705477561,7254.10220075872,4394.241201191092,22781.188521526878,14713.728691783988,6820.008971692201,11871.771439525062,0.0,0.0,0.0,2019-03-17T21:29:29.832075,18,EyesOpen
-20073.252329021972,-5679.555914349069,7347.197216415074,4589.774261686118,22810.22343757432,14957.25094762456,6861.538512890162,12026.490214644697,0.0,0.0,0.0,2019-03-17T21:29:29.837957,18,EyesOpen
-20193.035327557962,-5791.404043603426,7311.9261636646,4701.197707795824,22672.06730509607,15397.200333738368,6751.590281914507,12114.980770943257,0.0,0.0,0.0,2019-03-17T21:29:29.845862,18,EyesOpen
-20237.560002512935,-5840.980212805297,7207.968200202966,4512.012542726105,22619.272484692632,15205.668235500842,6685.809097982538,11960.84314117946,0.0,0.0,0.0,2019-03-17T21:29:29.846599,18,EyesOpen
-20127.142384903716,-5733.289508019628,7231.14695920312,4372.895285236274,22749.471396144796,14740.550785130357,6785.72139569776,11850.224357870145,0.0,0.0,0.0,2019-03-17T21:29:29.852492,18,EyesOpen
-20066.233881263004,-5663.842637996989,7337.9435942105765,4543.349688452446,22815.409042287953,14870.749696582521,6857.649309354939,11982.524333301108,0.0,0.0,0.0,2019-03-17T21:29:29.853185,18,EyesOpen
-20167.554338878912,-5760.513932766192,7333.45089357506,4708.5961352105305,22697.257721097198,15360.588176320574,6773.115011824967,12113.505555809208,0.014,1.02,0.192,2019-03-17T21:29:29.860565,18,EyesOpen
-20233.402578044246,-5839.39323894897,7235.125569716164,4569.4788777206995,22615.986778257702,15298.942065112838,6690.570019551518,11995.84597299647,0.0,0.0,0.0,2019-03-17T21:29:29.861247,18,EyesOpen
-20140.195803665614,-5751.372069283971,7223.301496899307,4383.601770830366,22720.280017886165,14800.341701548303,6762.810857631071,11846.156340379279,0.0,0.0,0.0,2019-03-17T21:29:29.868433,18,EyesOpen
-20053.02400028992,-5663.864989741443,7326.454797560549,4506.2010891677255,22818.314769067143,14803.962684150063,6855.771762820693,11944.347553771444,0.0,0.0,0.0,2019-03-17T21:29:29.869079,18,EyesOpen
-20136.105434430294,-5743.638365702434,7342.302184379361,4701.264763029189,22716.904904473413,15298.070347079081,6787.665997465372,12098.686349235339,0.0,0.0,0.0,2019-03-17T21:29:29.877066,18,EyesOpen
-20232.91083966623,-5838.856797082043,7238.791255806835,4606.4039595608665,22604.296815907575,15360.476417598298,6682.411632825331,12018.018903496135,0.0,0.0,0.0,2019-03-17T21:29:29.877797,18,EyesOpen
-20163.24045219904,-5770.460459048803,7206.291819368818,4399.359750671358,22685.768924447173,14874.28127220646,6735.139397995401,11852.459532315675,0.0,0.0,0.0,2019-03-17T21:29:29.883447,18,EyesOpen
-20052.666372378633,-5659.260530383651,7303.58896298277,4474.081632385449,22807.809449173146,14754.475921926014,6848.2168731947995,11914.016236545593,0.0,0.0,0.0,2019-03-17T21:29:29.884063,18,EyesOpen
-20110.199762606593,-5709.619010641457,7341.564576812337,4688.568972178576,22737.22264018329,15221.895601975395,6809.190727375833,12087.44342177432,0.0,0.0,0.0,2019-03-17T21:29:29.891296,18,EyesOpen
-20211.65433068923,-5804.949200743342,7259.041936283343,4656.449515396299,22616.411461402353,15418.367435737544,6703.690493546784,12065.426953485841,0.0,0.0,0.0,2019-03-17T21:29:29.892011,18,EyesOpen
-20180.317184962892,-5773.947331183831,7195.339464585718,4426.897099840296,22660.82437763505,14965.811665750942,6718.867328031937,11880.175695440257,0.01,1.02,0.188,2019-03-17T21:29:29.898382,18,EyesOpen
-20069.296070253382,-5671.397527622882,7269.524904432882,4428.171149274248,22791.51502746523,14710.040653948863,6826.870957239981,11882.142648952324,0.0,0.0,0.0,2019-03-17T21:29:29.905069,18,EyesOpen
